,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
15,16,1,1,アウィルアウェイ,牝5,55.0,吉田 隼人,1:10.4,1 1/4,18-18,35.0,480,+4,高野 友和,15
16,17,2,3,ライトオンキュー,牡6,57.0,横山 典弘,1:10.9,3,6-5,36.3,510,+4,昆 貢,4
17,18,1,2,,牡7,57.0,池添 謙一,1:11.3,2 1/2,5-5,36.7,480,+4,庄野 靖志,10
0,1,3,3,サリオス,牡5,56.0,松山 弘平,1:44.1,,4-6-6,33.8,534,+6,堀 宣行,1
1,2,8,9,ジャスティンカフェ,牡4,56.0,福永 祐一,1:44.2,1/2,8-9-8,33.8,498,+8,安田 翔伍,3
2,3,4,4,ダノンザキッド,牡4,56.0,戸崎 圭太,1:44.3,3/4,4-3-3,34.3,526,0,安田 隆行,4
3,4,5,5,レイパパレ,牝5,55.0,川田 将雅,1:44.4,1,3-2-2,34.6,440,0,高野 友和,2
4,5,2,2,ノースブリッジ,牡4,56.0,岩田 康誠,1:44.5,1/2,8-8-8,34.0,494,+2,奥村 武,5
5,6,6,6,ポタジェ,牡5,58.0,吉田 隼人,1:44.6,クビ,4-3-5,34.5,466,+2,友道 康夫,7
6,7,7,7,キングストンボーイ,牡4,56.0,C.ルメール,1:44.8,1 1/4,7-6-6,34.6,504,+2,鹿戸 雄一,8
7,8,7,8,キングオブコージ,牡6,57.0,横山 武史,1:45.2,2 1/2,2-3-3,35.2,492,-6,安田 翔伍,9
8,9,8,10,ハッピーアワー,牡6,56.0,川又 賢治,1:45.8,3 1/2,10-10-10,35.1,446,0,杉山 佳明,10
9,10,1,1,レッドベルオーブ,牡4,56.0,幸 英明,1:46.2,2,1-1-1,36.5,486,+4,藤原 英昭,6
0,1,4,4,ラヴズオンリーユー,牝5,54.0,川田 将雅,2:10.4,,4-4-4-3,34.7,478,-2,矢作 芳人,1
