,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
7,8,8,16,ラヴィングアンサー,牡7,56.0,岩田 望来,1:07.8,クビ,12-12,33.1,498,-2,石坂 公一,14
8,9,4,7,ベストアクター,せん7,56.0,富田 暁,1:07.8,クビ,11-10,33.2,450,0,鹿戸 雄一,16
9,10,7,13,ナランフレグ,牡5,56.0,丸田 恭介,1:08.0,1,15-15,33.0,486,-6,宗像 義忠,11
10,11,8,17,シゲルピンクルビー,牝3,52.0,和田 竜二,1:08.0,クビ,10-10,33.5,466,+4,渡辺 薫彦,9
11,12,1,1,ボンボヤージ,牝4,54.0,川須 栄彦,1:08.1,クビ,14-15,33.1,444,-2,梅田 智之,12
12,13,2,3,ラウダシオン,牡4,57.0,M.デムーロ,1:08.2,3/4,6-6,34.3,518,+2,斉藤 崇史,5
13,14,2,4,,牡7,56.0,武 豊,1:08.3,1/2,12-13,33.5,472,0,庄野 靖志,10
14,15,6,12,メイショウチタン,牡4,56.0,幸 英明,1:08.4,3/4,9-8,34.2,460,-8,本田 優,13
15,16,5,9,ジャスティン,牡5,57.0,菱田 裕二,1:08.4,クビ,2-2,35.2,490,-7,矢作 芳人,15
16,17,3,6,シャンデリアムーン,牝5,54.0,斎藤 新,1:08.6,3/4,1-1,35.7,474,+2,斎藤 誠,17
0,1,1,2,ケイデンスコール,牡5,56.0,岩田 康誠,1:33.1,,6-4-3,34.0,472,+4,安田 隆行,12
1,2,2,4,ピースワンパラディ,牡5,56.0,福永 祐一,1:33.2,3/4,4-4-5,33.9,470,+4,大竹 正博,2
2,3,7,13,エントシャイデン,牡6,56.0,川須 栄彦,1:33.4,1,1-1-1,34.9,488,+2,矢作 芳人,14
3,4,7,14,タイセイビジョン,牡4,56.0,石橋 脩,1:33.4,クビ,3-3-3,34.3,490,+22,西村 真幸,7
4,5,5,10,シュリ,牡5,56.0,武 豊,1:33.4,ハナ,5-4-5,34.1,514,+6,池江 泰寿,1
5,6,4,8,レッドガラン,牡6,56.0,北村 友一,1:33.5,クビ,12-13-13,33.6,516,+2,安田 隆行,3
6,7,6,11,ボンセルヴィーソ,牡7,55.0,鮫島 克駿,1:33.6,1/2,2-2-2,34.9,488,+8,池添 学,11
7,8,8,16,トリプルエース,牡4,55.0,団野 大成,1:33.6,クビ,9-10-11,33.9,504,-2,斉藤 崇史,4
8,9,4,7,スマートオーディン,牡8,57.0,荻野 極,1:33.8,1,13-10-7,34.4,504,+2,池江 泰寿,15
9,10,3,6,レッドアネモス,牝5,55.0,吉田 隼人,1:33.8,クビ,11-10-11,34.1,464,-2,友道 康夫,13
10,11,3,5,メイケイダイハード,牡6,55.0,酒井 学,1:33.9,クビ,6-7-7,34.4,556,+6,中竹 和也,10
11,12,8,15,サトノアーサー,牡7,57.5,坂井 瑠星,1:34.1,1 1/2,6-7-7,34.6,500,+20,池江 泰寿,8
12,13,6,12,ラセット,牡6,55.0,加藤 祥太,1:34.2,3/4,9-7-10,34.6,504,+8,庄野 靖志,9
13,14,5,9,ブラックムーン,牡9,56.0,幸 英明,1:34.2,クビ,13-15-15,34.2,506,+6,西浦 勝一,16
14,15,1,1,ケイアイノーテック,牡6,57.0,藤岡 佑介,1:34.2,ハナ,16-13-13,34.4,486,+6,平田 修,5
15,16,2,3,ロードマイウェイ,牡5,57.0,松若 風馬,1:34.4,1 1/4,13-16-16,34.2,482,+10,杉山 晴紀,6
0,1,1,1,ワールドプレミア,牡5,58.0,福永 祐一,3:14.7,,7-7-7-4,36.7,486,-2,友道 康夫,3
1,2,6,12,ディープボンド,牡4,58.0,和田 竜二,3:14.8,3/4,4-3-4-3,37.1,502,0,大久保 龍志,1
2,3,2,3,カレンブーケドール,牝5,56.0,戸崎 圭太,3:15.2,2,3-3-2-2,37.7,480,+2,国枝 栄,4
3,4,1,2,アリストテレス,牡4,58.0,C.ルメール,3:15.2,アタマ,6-6-5-4,37.3,474,-6,音無 秀孝,2
4,5,7,14,ウインマリリン,牝4,56.0,横山 武史,3:15.6,2 1/2,7-8-9-6,37.4,462,+6,手塚 貴久,8
5,6,3,5,,牡4,58.0,坂井 瑠星,3:15.6,クビ,1-1-1-1,38.3,488,-10,高野 友和,7
6,7,4,7,ユーキャンスマイル,牡6,58.0,藤岡 佑介,3:16.2,3 1/2,15-15-14-11,37.8,510,0,友道 康夫,5
7,8,3,6,マカヒキ,牡8,58.0,藤岡 康太,3:16.5,2,11-11-7-7,38.3,504,+2,友道 康夫,12
8,9,7,13,ナムラドノヴァン,牡6,58.0,内田 博幸,3:16.6,1/2,14-14-13-11,38.1,492,0,杉山 晴紀,11
9,10,8,17,オーソリティ,牡4,58.0,川田 将雅,3:16.7,クビ,11-11-10-7,38.4,506,-4,木村 哲也,6
10,11,8,16,メロディーレーン,牝5,56.0,池添 謙一,3:17.4,4,13-13-14-16,38.5,342,-4,森田 直行,16
11,12,5,10,ゴースト,せん5,58.0,鮫島 克駿,3:17.5,1/2,9-10-10-14,38.9,496,0,橋口 慎介,14
12,13,8,15,オセアグレイト,牡5,58.0,横山 典弘,3:17.5,クビ,17-17-14-11,39.0,496,0,菊川 正達,9
13,14,6,11,メイショウテンゲン,牡5,58.0,酒井 学,3:18.1,3 1/2,9-8-10-14,39.4,470,+2,池添 兼雄,13
14,15,4,8,ディバインフォース,牡5,58.0,武 豊,3:18.1,ハナ,16-16-17-17,39.0,460,-8,寺島 良,10
15,16,2,4,,牡7,58.0,松若 風馬,3:18.4,1 3/4,4-5-5-7,40.3,502,-4,池江 泰寿,17
16,17,5,9,ジャコマル,牡7,58.0,横山 和生,3:19.6,7,2-2-3-7,41.6,464,-4,松永 幹夫,15
0,1,5,8,ヒシイグアス,牡5,56.0,松山 弘平,1:44.9,,4-4-4-4,34.2,490,-6,堀 宣行,1
1,2,3,4,ケイデンスコール,牡5,56.0,岩田 康誠,1:44.9,クビ,5-5-4-4,34.2,472,0,安田 隆行,5
2,3,8,13,ウインイクシード,牡7,56.0,横山 武史,1:45.0,1/2,2-2-2-1,35.3,500,+2,鈴木 伸尋,7
3,4,6,10,ゴーフォザサミット,牡6,56.0,蛯名 正義,1:45.4,2 1/2,7-5-7-6,34.5,520,+6,藤沢 和雄,6
4,5,1,1,トーセンスーリヤ,牡6,56.0,横山 和生,1:45.5,クビ,3-3-3-2,35.6,488,+8,小野 次郎,4
5,6,2,2,コスモカレンドゥラ,牡5,56.0,柴田 大知,1:45.6,1/2,11-11-11-11,34.3,468,0,田中 博康,12
6,7,7,12,パンサラッサ,牡4,55.0,三浦 皇成,1:45.7,1/2,8-8-9-9,34.7,470,+2,矢作 芳人,9
7,8,6,9,サンアップルトン,牡5,56.0,柴田 善臣,1:45.9,1 1/2,12-13-12-11,34.4,480,-6,中野 栄治,10
8,9,7,11,クラージュゲリエ,牡5,56.0,C.ルメール,1:46.0,クビ,9-8-10-9,34.8,498,+2,池江 泰寿,3
9,10,4,6,フランツ,牡6,56.0,M.デムーロ,1:46.3,2,14-14-14-14,34.5,446,-6,音無 秀孝,8
10,11,8,14,ショウナンライズ,牡8,56.0,大野 拓弥,1:46.6,1 3/4,5-5-6-8,35.8,478,0,上原 博之,14
11,12,3,3,ノーブルマーズ,牡8,56.0,高倉 稜,1:46.7,3/4,9-10-7-7,35.8,500,-4,宮本 博,11
12,13,4,5,マイネルハニー,牡8,56.0,丸山 元気,1:47.2,3,12-12-12-11,35.8,490,+2,栗田 徹,13
13,14,5,7,バビット,牡4,56.0,内田 博幸,1:48.1,5,1-1-1-2,38.5,460,+2,浜田 多実雄,2
0,1,2,3,ホウオウイクセル,牝3,54.0,丸田 恭介,1:49.2,,3-3-4-2,35.4,414,-6,高柳 瑞樹,5
1,2,4,7,エンスージアズム,牝3,54.0,岩田 望来,1:49.4,1 1/4,7-5-7-6,35.3,416,-4,安田 翔伍,2
2,3,7,13,ユーバーレーベン,牝3,54.0,丹内 祐次,1:49.4,ハナ,12-11-9-8,35.1,464,-6,手塚 貴久,1
3,4,8,16,イズンシーラブリー,牝3,54.0,三浦 皇成,1:49.5,1/2,3-3-4-5,35.7,424,-6,加藤 征弘,3
4,5,3,5,クールキャット,牝3,54.0,横山 典弘,1:49.5,ハナ,13-13-12-12,35.0,508,-8,奥村 武,7
5,6,1,2,エトワールマタン,牝3,54.0,内田 博幸,1:49.8,1 1/2,7-8-7-8,35.7,424,-8,高柳 瑞樹,12
6,7,2,4,オレンジフィズ,牝3,54.0,北村 宏司,1:49.8,アタマ,5-5-4-6,35.9,452,-2,木村 哲也,9
7,8,3,6,グローリアスサルム,牝3,54.0,吉田 豊,1:49.8,クビ,10-10-12-12,35.3,444,-2,小島 茂之,8
8,9,6,11,ルース,牝3,54.0,石橋 脩,1:49.9,1/2,15-15-16-15,35.2,488,+4,池添 兼雄,4
9,10,4,8,リフレイム,牝3,54.0,木幡 巧也,1:50.0,1/2,14-14-12-10,35.5,490,0,黒岩 陽一,6
10,11,6,12,エコロデイジー,牝3,54.0,松田 大作,1:50.1,クビ,9-9-9-10,35.9,468,-6,牧浦 充徳,15
11,12,7,14,テリオスマナ,牝3,54.0,大野 拓弥,1:50.2,1/2,5-5-2-2,36.6,458,+6,松下 武士,16
12,13,8,15,アビッグチア,牝3,54.0,嶋田 純次,1:50.3,3/4,1-1-1-1,36.9,490,-6,堀井 雅広,11
13,14,1,1,レーヴドゥラプレリ,牝3,54.0,丸山 元気,1:50.5,1,16-16-15-12,35.9,452,-2,宮田 敬介,10
14,15,5,9,タウゼントシェーン,牝3,54.0,武藤 雅,1:51.3,5,2-2-2-2,37.8,428,+18,矢作 芳人,14
15,16,5,10,フミチャン,牝3,54.0,横山 武史,1:51.7,2 1/2,10-11-9-15,37.4,476,+4,鹿戸 雄一,13
0,1,5,5,ステラヴェローチェ,牡3,56.0,吉田 隼人,2:18.0,,9-8-9-9,35.6,506,+18,須貝 尚介,2
1,2,7,7,レッドジェネシス,牡3,56.0,藤岡 康太,2:18.0,1/2,7-8-7-6,35.9,490,0,友道 康夫,5
2,3,4,4,モンテディオ,牡3,56.0,池添 謙一,2:18.5,3,2-2-2-2,36.8,474,-4,四位 洋文,8
3,4,8,10,シャフリヤール,牡3,56.0,福永 祐一,2:18.7,1 1/2,5-5-6-6,36.6,452,+8,藤原 英昭,1
4,5,3,3,キングストンボーイ,牡3,56.0,C.ルメール,2:18.7,アタマ,7-7-7-8,36.5,500,+4,藤沢 和雄,3
5,6,7,8,イクスプロージョン,牡3,56.0,松山 弘平,2:19.1,2 1/2,3-3-3-3,37.3,472,-4,杉山 晴紀,7
6,7,1,1,セファーラジエル,牡3,56.0,鮫島 克駿,2:19.2,3/4,10-10-10-10,36.4,522,+4,高柳 大輔,6
7,8,2,2,ワンダフルタウン,牡3,56.0,和田 竜二,2:19.4,1,5-5-5-3,37.5,472,+2,高橋 義忠,4
8,9,8,9,,牡3,56.0,富田 暁,2:20.6,7,1-1-1-1,39.1,484,-16,武 英智,10
9,10,6,6,シゲルソウサイ,牡3,56.0,岩田 康誠,2:22.2,10,3-3-3-3,40.4,490,-2,上村 洋行,9
0,1,1,1,ルークズネスト,牡3,56.0,幸 英明,1:20.1,,1-1,35.0,510,+10,浜田 多実雄,3
1,2,3,4,グレナディアガーズ,牡3,57.0,川田 将雅,1:20.1,アタマ,2-2,34.9,458,0,中内田 充正,1
2,3,7,13,モントライゼ,牡3,57.0,C.ルメール,1:20.5,2 1/2,8-7,34.8,494,+2,松永 幹夫,2
3,4,3,5,サルビア,牝3,54.0,池添 謙一,1:20.5,アタマ,4-3,35.0,458,0,鈴木 孝志,6
4,5,4,7,インフィナイト,牝3,54.0,藤井 勘一郎,1:20.6,1/2,4-7,35.0,490,-6,音無 秀孝,9
5,6,5,8,ファルヴォーレ,牡3,56.0,秋山 真一郎,1:20.7,クビ,15-14,34.2,450,+2,高橋 義忠,7
6,7,8,15,ヴィジュネル,牡3,56.0,藤岡 康太,1:20.7,クビ,10-10,34.8,466,-6,渡辺 薫彦,10
7,8,4,6,ニシノアジャスト,牡3,56.0,勝浦 正樹,1:20.8,1/2,14-14,34.3,526,+4,小手川 準,11
8,9,6,10,ロードマックス,牡3,56.0,福永 祐一,1:21.0,3/4,8-7,35.4,442,0,藤原 英昭,4
9,10,7,12,ショックアクション,牡3,57.0,戸崎 圭太,1:21.1,1/2,10-10,35.2,496,-4,大久保 龍志,5
10,11,8,14,アスコルターレ,牡3,57.0,鮫島 克駿,1:21.1,クビ,13-13,34.8,432,-20,西村 真幸,8
11,12,5,9,フォイアーロート,牡3,56.0,中井 裕二,1:21.2,1/2,12-10,35.3,466,-4,浅見 秀一,12
12,13,6,11,ラングロワ,牝3,54.0,秋山 稔樹,1:21.6,2 1/2,3-3,36.2,418,-10,堀井 雅広,14
13,14,2,3,トーセンウォーリア,牡3,56.0,菱田 裕二,1:22.1,3,4-3,36.6,494,-2,池上 昌和,13
14,15,2,2,ホーキーポーキー,牝3,54.0,城戸 義政,1:22.3,1 1/4,4-3,36.8,450,+2,武市 康男,15
0,1,4,8,ポタジェ,牡5,57.0,吉田 隼人,1:58.4,,5-5-5-4,35.3,468,+2,友道 康夫,8
1,2,7,14,レイパパレ,牝5,55.0,川田 将雅,1:58.5,クビ,3-3-3-3,35.6,434,+4,高野 友和,3
2,3,5,9,アリーヴォ,牡4,57.0,武 豊,1:58.5,ハナ,12-10-9-6,35.0,500,-2,杉山 晴紀,7
3,4,5,10,ヒシイグアス,牡6,57.0,池添 謙一,1:58.7,1,7-7-7-6,35.3,494,+9,堀 宣行,5
4,5,2,4,ジャックドール,牡4,57.0,藤岡 佑介,1:58.9,1 1/4,1-1-1-1,36.3,508,+2,藤岡 健一,2
5,6,1,1,スカーフェイス,牡6,57.0,岩田 康誠,1:58.9,クビ,14-14-13-10,35.0,466,+4,橋田 満,15
6,7,8,15,アフリカンゴールド,せん7,57.0,国分 恭介,1:59.0,1/2,2-2-2-2,36.2,468,0,西園 正都,11
7,8,6,11,ステラリア,牝4,55.0,福永 祐一,1:59.0,クビ,9-10-11-10,35.2,498,0,斉藤 崇史,10
8,9,3,6,エフフォーリア,牡4,57.0,横山 武史,1:59.1,1/2,9-8-8-10,35.5,522,+6,鹿戸 雄一,1
9,10,3,5,アカイイト,牝5,55.0,幸 英明,1:59.2,3/4,13-13-11-10,35.5,514,+2,中竹 和也,4
10,11,7,13,キングオブコージ,牡6,57.0,横山 典弘,1:59.3,クビ,15-14-15-14,35.3,506,+10,安田 翔伍,6
11,12,6,12,ショウナンバルディ,牡6,57.0,坂井 瑠星,1:59.3,ハナ,5-5-5-6,36.0,452,-2,松下 武士,16
12,13,1,2,,牡4,57.0,藤岡 康太,1:59.4,1,15-16-15-16,35.3,498,-4,友道 康夫,12
13,14,8,16,マカヒキ,牡9,57.0,岩田 望来,2:00.0,3 1/2,11-12-13-14,36.0,510,-2,友道 康夫,13
14,15,2,3,ヒュミドール,せん6,57.0,M.デムーロ,2:00.3,1 1/2,7-8-9-9,36.8,466,-6,小手川 準,14
15,16,4,7,ウインマリリン,牝5,55.0,松岡 正海,2:00.7,2 1/2,3-3-3-4,37.8,462,-10,手塚 貴久,9
0,1,2,2,ゼノヴァース,牡5,60.0,森 一馬,3:25.9,,2-2-2-2,13.2,456,+2,小林 真也,3
1,2,8,12,ホッコーメヴィウス,せん6,60.0,黒岩 悠,3:26.2,2,1-1-1-1,13.3,480,+4,清水 久詞,1
2,3,6,7,ダイシンクローバー,せん6,60.0,高田 潤,3:28.4,大差,9-9-5-4,13.4,484,+8,安田 隆行,10
3,4,5,5,メイショウウチデ,牡6,60.0,小坂 忠士,3:29.2,5,3-3-3-3,13.5,466,+2,南井 克巳,6
4,5,8,11,テイエムクロムシャ,牡6,60.0,植野 貴也,3:30.3,7,10-10-9-9,13.5,474,-10,鈴木 孝志,9
5,6,3,3,レオビヨンド,牡6,60.0,平沢 健治,3:30.5,1 1/4,7-6-8-8,13.5,512,+10,高柳 大輔,5
6,7,7,10,スマートアペックス,牡5,60.0,中村 将之,3:31.0,3,4-4-6-6,13.6,478,-12,中村 直也,4
7,8,7,9,グローリーグローリ,牡7,60.0,小野寺 祐太,3:31.6,3 1/2,8-8-6-6,13.6,506,0,五十嵐 忠男,12
8,9,6,8,オジュウチョウサン,牡11,62.0,石神 深一,3:33.4,大差,5-5-4-4,13.7,502,-8,和田 正一郎,2
9,10,4,4,マイネルレオーネ,牡10,60.0,小牧 加矢太,3:33.7,1 3/4,5-6-10-10,13.7,414,+6,清水 久詞,7
10,11,5,6,マーニ,牡6,61.0,北沢 伸也,3:35.4,10,11-11-11-11,13.9,458,+4,鮫島 一歩,8
11,12,1,1,モサ,牡6,60.0,西谷 誠,3:37.7,大差,12-12-12-12,14.0,504,-6,角田 晃一,11
0,1,3,5,,牡7,56.0,松田 大作,1:51.7,,10-10-7-8,37.2,492,+6,須貝 尚介,7
1,2,6,11,オーヴェルニュ,牡6,57.0,団野 大成,1:51.8,1/2,4-4-4-2,37.7,482,+4,西村 真幸,1
2,3,7,13,ブルベアイリーデ,牡6,56.0,M.デムーロ,1:52.0,1 1/4,11-11-7-7,37.5,498,+6,杉山 晴紀,3
3,4,8,15,,牡5,56.0,幸 英明,1:52.0,アタマ,2-3-3-2,38.0,552,-2,羽月 友彦,2
4,5,4,8,カデナ,牡8,56.0,和田 竜二,1:52.2,1,14-14-12-11,37.2,494,+16,中竹 和也,12
5,6,8,16,,牝5,54.0,柴山 雄一,1:52.4,1 1/2,15-15-15-14,37.2,470,+2,野中 賢二,13
6,7,5,10,ゲンパチルシファー,牡6,56.0,川島 信二,1:52.6,1,8-6-5-5,38.3,528,-16,佐々木 晶三,11
7,8,5,9,ケンシンコウ,牡5,56.0,丸山 元気,1:52.6,ハナ,12-12-10-10,37.8,504,+10,小西 一男,10
8,9,2,4,デュードヴァン,牡5,56.0,松山 弘平,1:52.6,クビ,4-4-5-5,38.3,478,-2,池添 学,5
9,10,1,2,,牡7,56.0,岩田 望来,1:52.7,3/4,6-6-10-11,37.9,486,+2,藤原 英昭,6
10,11,3,6,ミヤジコクオウ,牡5,56.0,武 豊,1:52.9,1,8-6-7-8,38.5,512,+4,川村 禎彦,14
11,12,1,1,スマッシャー,牡4,55.0,坂井 瑠星,1:53.0,クビ,6-9-13-14,37.9,484,+8,吉岡 辰弥,8
12,13,2,3,アイオライト,牡5,56.0,菱田 裕二,1:53.5,3 1/2,1-1-1-1,39.7,494,+4,武藤 善則,4
13,14,4,7,,牡6,56.0,池添 謙一,1:53.8,1 3/4,15-15-13-11,38.7,498,+4,国枝 栄,9
14,15,6,12,,牡6,56.0,酒井 学,1:54.9,7,2-2-2-2,41.0,484,-12,武 英智,15
15,16,7,14,シャイニービーム,牡10,56.0,加藤 祥太,1:56.6,10,12-12-15-16,41.3,478,+14,羽月 友彦,16
0,1,1,1,シャムロックヒル,牝4,50.0,藤懸 貴志,2:00.4,,1-1-1-1,35.3,490,0,佐々木 晶三,10
1,2,7,13,クラヴェル,牝4,51.0,横山 典弘,2:00.4,クビ,14-13-11-13,34.6,450,0,安田 翔伍,5
2,3,3,5,シャドウディーヴァ,牝5,55.0,福永 祐一,2:00.5,クビ,6-6-6-5,35.1,476,-2,斎藤 誠,6
3,4,6,12,アンドラステ,牝5,55.0,岩田 望来,2:00.8,1 3/4,6-5-4-2,35.4,476,+6,中内田 充正,3
4,5,2,3,ホウオウエミーズ,牝4,50.0,丸田 恭介,2:00.8,アタマ,9-9-11-9,35.2,446,-2,池上 昌和,12
5,6,1,2,アブレイズ,牝4,56.0,浜中 俊,2:01.1,2,3-3-4-5,35.6,494,+10,池江 泰寿,9
6,7,5,9,イズジョーノキセキ,牝4,52.0,西村 淳也,2:01.2,クビ,6-6-6-5,35.7,456,-2,石坂 公一,2
7,8,4,8,ソフトフルート,牝4,54.0,横山 和生,2:01.2,クビ,4-3-2-2,35.9,480,+10,斉藤 崇史,1
8,9,5,10,キングスタイル,牝4,50.0,高倉 稜,2:01.4,1 1/4,16-15-14-14,35.4,412,+2,田中 克典,14
9,10,4,7,レッドベルディエス,牝5,53.0,幸 英明,2:01.5,クビ,14-15-14-14,35.6,472,-4,鹿戸 雄一,11
10,11,7,14,サンクテュエール,牝4,55.0,川田 将雅,2:01.5,クビ,2-2-2-2,36.2,468,-2,藤沢 和雄,4
11,12,2,4,,牝5,54.0,和田 竜二,2:01.5,ハナ,9-9-8-9,35.8,552,-4,西村 真幸,7
12,13,8,16,アッシェンプッテル,牝5,54.0,太宰 啓介,2:01.6,1/2,13-13-16-16,35.5,522,+6,奥村 豊,16
13,14,3,6,フィリアプーラ,牝5,54.0,菊沢 一樹,2:01.7,1/2,4-6-8-9,36.0,460,-2,菊沢 隆徳,13
14,15,8,15,ミスニューヨーク,牝4,53.0,加藤 祥太,2:01.9,1 1/4,9-9-11-8,36.3,464,+8,杉山 晴紀,8
15,16,6,11,パッシングスルー,牝5,54.0,荻野 極,2:01.9,アタマ,9-9-8-9,36.3,480,-10,黒岩 陽一,15
0,1,2,3,レッドルゼル,牡5,56.0,川田 将雅,1:22.3,,9-10,35.1,494,+2,安田 隆行,1
1,2,1,1,ワンダーリーデル,牡8,56.0,田中 勝春,1:22.3,アタマ,15-16,34.6,532,+8,安田 翔伍,10
2,3,3,6,タイムフライヤー,牡6,57.0,C.ルメール,1:22.4,1/2,8-7,35.5,486,+4,松田 国英,2
3,4,7,14,アルクトス,牡6,59.0,田辺 裕信,1:22.5,クビ,6-4,35.8,544,0,栗田 徹,6
4,5,3,5,ブルベアイリーデ,牡5,56.0,大野 拓弥,1:22.8,1 3/4,13-12,35.3,490,-8,杉山 晴紀,12
5,6,4,7,ヤマニンアンプリメ,牝7,55.0,武 豊,1:22.8,クビ,11-10,35.6,496,-5,長谷川 浩大,14
6,7,8,15,デザートストーム,牡7,56.0,三浦 皇成,1:22.9,1/2,13-12,35.5,464,+2,西浦 勝一,8
7,8,5,9,,せん5,56.0,北村 宏司,1:22.9,クビ,4-4,36.3,466,+2,寺島 良,5
8,9,6,11,,牡7,59.0,森 泰斗,1:22.9,ハナ,9-7,35.9,532,0,堀 千亜樹,15
9,10,8,16,ステルヴィオ,牡6,58.0,横山 武史,1:23.1,3/4,15-12,35.7,500,+6,木村 哲也,3
10,11,1,2,スマートダンディー,牡7,56.0,内田 博幸,1:23.3,1 1/2,11-12,35.9,502,+2,石橋 守,11
11,12,7,13,サクセスエナジー,牡7,57.0,酒井 学,1:23.3,アタマ,2-1,37.0,550,-6,北出 成人,13
12,13,6,12,テイエムサウスダン,牡4,55.0,石橋 脩,1:23.4,3/4,4-4,36.8,546,+2,飯田 雄三,4
13,14,2,4,ダイメイフジ,牡7,56.0,柴田 大知,1:24.0,3 1/2,6-7,37.1,524,0,森田 直行,16
14,15,5,10,メイショウテンスイ,牡4,55.0,蛯名 正義,1:24.8,5,2-2,38.4,514,-6,南井 克巳,9
15,16,4,8,スマートセラヴィー,牡5,56.0,戸崎 圭太,1:25.5,4,1-2,39.2,498,-10,矢作 芳人,7
0,1,1,2,,牡7,57.0,荻野 極,1:07.8,,3-2,34.6,508,-2,池江 泰寿,8
1,2,4,7,,牡3,55.0,松山 弘平,1:07.8,クビ,8-9,34.1,468,0,深山 雅史,7
2,3,3,6,ナランフレグ,牡6,57.0,丸田 恭介,1:08.0,3/4,13-12,33.9,490,0,宗像 義忠,5
3,4,2,4,ダイアトニック,牡7,57.0,岩田 康誠,1:08.0,クビ,5-6,34.6,478,0,安田 隆行,10
4,5,5,9,ナムラクレア,牝3,53.0,浜中 俊,1:08.0,アタマ,7-6,34.5,466,-4,長谷川 浩大,2
5,6,3,5,エイティーンガール,牝6,55.0,秋山 真一郎,1:08.1,クビ,10-8,34.3,452,-2,飯田 祐史,14
6,7,6,11,トゥラヴェスーラ,牡7,57.0,鮫島 克駿,1:08.1,クビ,11-11,34.2,482,-8,高橋 康之,11
7,8,8,16,マリアズハート,牝6,55.0,菊沢 一樹,1:08.3,3/4,15-15,33.9,502,-12,菊沢 隆徳,15
8,9,8,15,シュネルマイスター,牡4,57.0,横山 武史,1:08.3,アタマ,11-12,34.4,490,0,手塚 貴久,3
9,10,4,8,,牡6,57.0,団野 大成,1:08.3,クビ,2-2,35.5,520,-2,西村 真幸,12
10,11,6,12,ヴェントヴォーチェ,牡5,57.0,西村 淳也,1:08.4,1/2,8-9,34.7,518,0,牧浦 充徳,9
11,12,2,3,,牝5,55.0,丹内 祐次,1:08.5,1/2,5-4,35.1,448,-6,池添 兼雄,13
12,13,5,10,タイセイビジョン,牡5,57.0,福永 祐一,1:08.5,クビ,13-14,34.4,470,-6,西村 真幸,6
13,14,7,13,メイケイエール,牝4,55.0,池添 謙一,1:08.7,1 1/4,4-4,35.4,482,-2,武 英智,1
14,15,1,1,テイエムスパーダ,牝3,53.0,国分 恭介,1:08.8,3/4,1-1,36.1,490,+2,五十嵐 忠男,4
15,16,7,14,ラヴィングアンサー,牡8,57.0,菱田 裕二,1:08.9,1/2,16-16,34.3,502,-2,石坂 公一,16
0,1,3,5,キラーアビリティ,牡2,55.0,横山 武史,2:00.6,,3-3-3-3,35.8,468,-2,斉藤 崇史,2
1,2,5,8,ジャスティンパレス,牡2,55.0,C.デムーロ,2:00.8,1 1/2,5-5-5-5,35.7,450,0,杉山 晴紀,4
2,3,2,3,ラーグルフ,牡2,55.0,丸田 恭介,2:01.0,1 1/4,7-5-5-3,36.0,496,+14,宗像 義忠,8
3,4,7,13,フィデル,牡2,55.0,川田 将雅,2:01.1,3/4,12-12-12-11,35.4,476,-2,友道 康夫,7
4,5,5,9,ボーンディスウェイ,牡2,55.0,石橋 脩,2:01.1,アタマ,2-2-2-2,36.5,494,+4,牧 光二,10
5,6,6,10,マテンロウレオ,牡2,55.0,横山 典弘,2:01.1,ハナ,9-10-10-9,35.6,478,+4,昆 貢,9
6,7,2,2,アケルナルスター,牡2,55.0,柴田 大知,2:01.1,ハナ,14-14-14-13,35.1,454,0,清水 英克,12
7,8,1,1,シェルビーズアイ,牡2,55.0,松田 大作,2:01.3,1,9-8-8-8,36.0,472,0,武 英智,13
8,9,3,4,グランドライン,牡2,55.0,三浦 皇成,2:01.4,1,1-1-1-1,37.1,514,0,高木 登,11
9,10,8,15,アスクワイルドモア,牡2,55.0,武 豊,2:01.5,3/4,13-13-12-13,35.7,474,+12,藤原 英昭,5
10,11,7,12,オニャンコポン,牡2,55.0,菅原 明良,2:01.7,1 1/4,3-3-3-5,36.8,474,+4,小島 茂之,6
11,12,4,6,コマンドライン,牡2,55.0,C.ルメール,2:01.8,クビ,11-10-10-9,36.3,530,+8,国枝 栄,1
12,13,4,7,サトノヘリオス,牡2,55.0,岩田 望来,2:01.8,クビ,8-8-8-5,36.5,478,+6,友道 康夫,3
13,14,6,11,クラウンドマジック,牡2,55.0,岩田 康誠,2:02.2,2,15-15-15-13,35.8,510,+8,加用 正,15
14,15,8,14,タイラーテソーロ,牡2,55.0,内田 博幸,2:03.0,5,5-5-5-11,37.9,476,+4,栗田 徹,14
0,1,1,2,ミスニューヨーク,牝4,53.0,M.デムーロ,1:32.8,,16-15-14,34.6,462,0,杉山 晴紀,4
1,2,5,9,アンドラステ,牝5,56.5,岩田 望来,1:33.0,1 1/4,9-7-6,35.5,474,0,中内田 充正,3
2,3,8,15,ギルデッドミラー,牝4,54.0,戸崎 圭太,1:33.1,1/2,9-7-6,35.6,486,-2,松永 幹夫,13
3,4,2,4,フェアリーポルカ,牝5,56.0,三浦 皇成,1:33.3,1 1/4,11-9-9,35.6,496,-2,西村 真幸,8
4,5,7,13,ジュランビル,牝5,53.0,菊沢 一樹,1:33.3,アタマ,3-4-3,36.2,476,-6,寺島 良,16
