,レースID,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬名ID,馬番,馬名,性齢,負担重量,騎手名,馬体重,馬体重(増減),調教師名,単勝人気
33,1,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,16,8,33.0,18,ブラストワンピース,5,58.0,川田 将雅,542,0,大竹 正博,4
34,1,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,17,2,34.0,3,グローリーヴェイズ,5,58.0,D.レーン,460,14,尾関 知人,5
35,1,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,18,2,35.0,4,アフリカンゴールド,5,58.0,藤井 勘一郎,466,2,西園 正都,17
36,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,1,7,36.0,13,ソングライン,4,56.0,池添 謙一,482,-4,林 徹,4
37,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,2,5,37.0,9,シュネルマイスター,4,58.0,C.ルメール,490,前計不,手塚 貴久,2
38,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,3,8,38.0,17,サリオス,5,58.0,D.レーン,528,-22,堀 宣行,8
39,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,4,7,39.0,15,セリフォス,3,54.0,藤岡 佑介,490,0,中内田 充正,5
40,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,5,4,40.0,7,ファインルージュ,4,56.0,武 豊,500,0,木村 哲也,3
41,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,6,2,41.0,4,ダノンザキッド,4,58.0,川田 将雅,526,4,安田 隆行,7
42,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,7,5,42.0,10,エアロロノア,5,58.0,幸 英明,504,4,笹田 和秀,16
