,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
10,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,11,7,15,スティッフェリオ,牡6,58.0,幸 英明,2:16.7,ハナ,9-8-8-10,38.9,444,-2,音無 秀孝,8
11,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,12,8,17,カデナ,牡6,58.0,鮫島 克駿,2:16.8,クビ,18-18-18-15,38.5,486,0,中竹 和也,9
12,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,13,4,7,ワグネリアン,牡5,58.0,福永 祐一,2:16.8,クビ,2-2-2-2,39.6,470,+4,友道 康夫,7
13,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,14,5,9,アドマイヤアルバ,せん5,58.0,西村 淳也,2:17.6,5,13-13-15-17,39.1,468,0,須貝 尚介,18
14,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,15,1,2,ペルシアンナイト,牡6,58.0,和田 竜二,2:18.0,2,3-3-3-6,40.5,500,-2,池江 泰寿,13
15,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,16,8,18,ブラストワンピース,牡5,58.0,川田 将雅,2:18.0,アタマ,5-6-5-10,40.3,542,0,大竹 正博,4
16,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,17,2,3,グローリーヴェイズ,牡5,58.0,D.レーン,2:18.8,5,14-13-14-8,41.2,460,+14,尾関 知人,5
17,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,18,2,4,アフリカンゴールド,せん5,58.0,藤井 勘一郎,2:21.8,大差,7-6-8-17,43.5,466,+2,西園 正都,17
0,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,1,7,13,ソングライン,牝4,56.0,池添 謙一,1:32.3,,10-10,32.9,482,-4,林 徹,4
1,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,2,5,9,シュネルマイスター,牡4,58.0,C.ルメール,1:32.3,クビ,13-10,32.9,490,前計不,手塚 貴久,2
2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,3,8,17,サリオス,牡5,58.0,D.レーン,1:32.3,アタマ,7-9,33.0,528,-22,堀 宣行,8
3,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,4,7,15,セリフォス,牡3,54.0,藤岡 佑介,1:32.4,1/2,10-13,32.8,490,0,中内田 充正,5
4,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,5,4,7,ファインルージュ,牝4,56.0,武 豊,1:32.5,クビ,5-3,33.5,500,0,木村 哲也,3
5,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,6,2,4,ダノンザキッド,牡4,58.0,川田 将雅,1:32.5,ハナ,2-2,33.7,526,+4,安田 隆行,7
6,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,7,5,10,エアロロノア,牡5,58.0,幸 英明,1:32.5,1/2,17-16,32.6,504,+4,笹田 和秀,16
7,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,8,4,8,イルーシヴパンサー,牡4,58.0,田辺 裕信,1:32.5,ハナ,17-16,32.6,476,0,久保田 貴士,1
8,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,9,8,18,ナランフレグ,牡6,58.0,丸田 恭介,1:32.7,3/4,15-13,33.1,490,+4,宗像 義忠,12
9,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,10,2,3,ロータスランド,牝5,56.0,M.デムーロ,1:32.7,クビ,9-6,33.5,484,+8,辻野 泰之,11
10,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,11,8,16,レシステンシア,牝5,56.0,横山 武史,1:32.7,クビ,5-6,33.6,512,+2,松下 武士,9
11,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,12,3,5,ホウオウアマゾン,牡4,58.0,坂井 瑠星,1:32.8,1/2,1-1,34.1,512,+4,矢作 芳人,15
12,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,13,7,14,,牡4,58.0,浜中 俊,1:32.9,クビ,13-13,33.3,498,-2,池江 泰寿,6
13,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,14,6,12,ダイアトニック,牡7,58.0,岩田 康誠,1:33.0,1/2,3-3,34.1,478,+4,安田 隆行,17
14,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,15,1,2,ヴァンドギャルド,牡6,58.0,岩田 望来,1:33.2,1 1/2,7-6,34.0,466,前計不,藤原 英昭,13
15,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,16,3,6,カラテ,牡6,58.0,菅原 明良,1:33.2,クビ,10-10,33.8,540,+10,辻野 泰之,14
16,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,17,1,1,カフェファラオ,牡5,58.0,福永 祐一,1:33.3,アタマ,3-3,34.4,524,-2,堀 宣行,10
17,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,18,6,11,,牡6,58.0,戸崎 圭太,1:34.0,4,15-16,34.2,484,-10,池添 学,18
0,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,1,3,5,インディチャンプ,牡4,57.0,池添 謙一,1:33.0,,4-5,33.9,472,-4,音無 秀孝,3
1,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,2,7,14,ダノンプレミアム,牡4,57.0,川田 将雅,1:33.2,1 1/2,4-3,34.2,506,-2,中内田 充正,1
2,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,3,4,7,,牡5,57.0,O.マーフィー,1:33.3,クビ,10-12,33.7,498,+6,池江 泰寿,6
3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,4,2,3,,牡5,57.0,田中 勝春,1:33.4,1/2,1-1,34.6,468,+4,昆 貢,10
4,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,5,1,1,ダノンキングリー,牡3,56.0,横山 典弘,1:33.4,クビ,6-7,34.1,452,-2,萩原 清,2
5,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,6,6,11,カテドラル,牡3,56.0,武 豊,1:33.5,3/4,16-15,33.4,490,+10,池添 学,13
