,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
4,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,5,4,8,ヨカヨカ,牝2,54.0,福永 祐一,1:33.5,1 1/2,1-1,34.8,454,+4,谷 潔,10
5,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,6,6,12,オパールムーン,牝2,54.0,横山 典弘,1:33.6,3/4,15-16,33.8,430,-6,昆 貢,5
6,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,7,2,3,ジェラルディーナ,牝2,54.0,岩田 康誠,1:33.6,アタマ,18-17,33.7,428,-4,石坂 正,8
7,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,8,3,5,サルビア,牝2,54.0,松山 弘平,1:33.8,1 1/4,3-4,34.8,454,-2,鈴木 孝志,14
8,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,9,7,13,アオイゴールド,牝2,54.0,団野 大成,1:34.0,1 1/4,9-8,34.8,462,-2,和田 雄二,17
9,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,10,1,2,ルクシオン,牝2,54.0,西村 淳也,1:34.0,ハナ,15-17,34.1,418,-2,河内 洋,16
10,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,11,7,15,エイシンヒテン,牝2,54.0,松若 風馬,1:34.0,クビ,3-3,35.2,450,+2,渡辺 薫彦,7
11,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,12,2,4,リンゴアメ,牝2,54.0,丹内 祐次,1:34.1,1/2,8-8,34.8,436,0,菊川 正達,15
12,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,13,1,1,ウインアグライア,牝2,54.0,横山 武史,1:34.1,ハナ,12-14,34.5,458,+8,和田 雄二,13
13,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,14,8,16,インフィナイト,牝2,54.0,北村 友一,1:34.4,1 1/2,5-4,35.4,484,-4,音無 秀孝,4
14,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,15,5,9,ナムラメーテル,牝2,54.0,和田 竜二,1:34.4,ハナ,9-8,35.1,430,-4,鈴木 孝志,18
15,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,16,8,17,フラリオナ,牝2,54.0,浜中 俊,1:34.4,クビ,14-13,34.9,412,-2,武 幸四郎,12
16,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,17,5,10,シゲルピンクルビー,牝2,54.0,幸 英明,1:34.7,2,5-4,35.7,470,-10,渡辺 薫彦,11
17,2020-12-13,阪神ジュベナイルフィリーズ,2歳,オープン,国際牝指定,馬齢,1600メートル芝右 外,18,7,14,ポールネイロン,牝2,54.0,藤岡 佑介,1:35.3,3 1/2,2-2,36.6,432,-6,矢作 芳人,9
0,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,1,6,12,サートゥルナーリア,牡3,57.0,C.ルメール,1:58.1,,6-7-7-7,34.1,496,-4,角居 勝彦,1
1,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,2,4,7,ヴェロックス,牡3,57.0,川田 将雅,1:58.1,アタマ,5-5-4-4,34.4,478,-4,中内田 充正,4
2,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,3,2,4,ダノンキングリー,牡3,57.0,戸崎 圭太,1:58.1,ハナ,4-3-4-5,34.5,450,-4,萩原 清,3
3,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,4,1,1,アドマイヤマーズ,牡3,57.0,M.デムーロ,1:58.5,2,6-5-4-5,34.9,470,-8,友道 康夫,2
4,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,5,3,6,クラージュゲリエ,牡3,57.0,横山 典弘,1:58.7,1 1/2,6-7-7-8,34.7,490,+2,池江 泰寿,14
5,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,6,8,16,タガノディアマンテ,牡3,57.0,田辺 裕信,1:58.9,1 1/4,16-16-15-10,34.4,460,-4,鮫島 一歩,15
6,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,7,6,11,ラストドラフト,牡3,57.0,A.シュタルケ,1:59.0,1/2,9-10-10-10,34.8,452,0,戸田 博文,10
7,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,8,8,17,アドマイヤジャスタ,牡3,57.0,岩田 康誠,1:59.0,アタマ,16-16-15-14,34.5,508,0,須貝 尚介,11
8,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,9,7,14,ダディーズマインド,牡3,57.0,宮崎 北斗,1:59.2,1 1/2,2-2-2-1,35.8,478,-4,青木 孝文,17
9,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,10,8,18,ナイママ,牡3,57.0,柴田 大知,1:59.3,1/2,14-14-17-14,34.6,458,+8,武藤 善則,18
10,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,11,7,13,ブレイキングドーン,牡3,57.0,福永 祐一,1:59.3,アタマ,14-14-13-14,34.9,498,0,中竹 和也,13
11,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,12,5,10,シュヴァルツリーゼ,牡3,57.0,石橋 脩,1:59.7,2,13-12-10-10,35.5,478,-10,堀 宣行,7
12,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,13,2,3,ファンタジスト,牡3,57.0,武 豊,1:59.7,アタマ,10-7-7-8,35.8,480,-4,梅田 智之,5
13,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,14,1,2,サトノルークス,牡3,57.0,池添 謙一,1:59.7,ハナ,10-12-13-14,35.3,466,-6,池江 泰寿,8
14,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,15,5,9,メイショウテンゲン,牡3,57.0,三浦 皇成,1:59.7,ハナ,18-18-17-18,34.9,454,-4,池添 兼雄,9
15,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,16,7,15,クリノガウディー,牡3,57.0,藤岡 佑介,2:00.0,2,2-3-3-2,36.5,488,-6,藤沢 則雄,16
16,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,17,4,8,ニシノデイジー,牡3,57.0,勝浦 正樹,2:00.1,3/4,10-10-10-10,35.9,486,-10,高木 登,6
17,2019-04-14,皐月賞,サラ系3歳,オープン,国際牡牝指定,定量,2000メートル芝右,18,3,5,ランスオブプラーナ,牡3,57.0,松山 弘平,2:00.8,4,1-1-1-2,37.4,468,+6,本田 優,12
0,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,1,1,2,グレナディアガーズ,牡2,55.0,川田 将雅,1:32.3,,3-2,34.5,458,+2,中内田 充正,7
1,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,2,4,7,ステラヴェローチェ,牡2,55.0,横山 典弘,1:32.4,3/4,10-9,33.5,502,0,須貝 尚介,2
2,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,3,4,8,レッドベルオーブ,牡2,55.0,福永 祐一,1:32.7,1 1/2,7-7,34.2,476,+8,藤原 英昭,1
3,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,4,6,11,バスラットレオン,牡2,55.0,坂井 瑠星,1:32.8,1/2,3-4,34.8,478,-4,矢作 芳人,8
4,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,5,3,6,ブルースピリット,牡2,55.0,藤岡 佑介,1:32.8,クビ,2-2,35.1,484,-6,中内田 充正,13
5,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,6,8,15,ロードマックス,牡2,55.0,岩田 望来,1:32.9,クビ,9-9,34.1,444,0,藤原 英昭,11
6,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,7,3,5,ドゥラモンド,牡2,55.0,武 豊,1:33.0,1/2,7-7,34.5,478,+10,手塚 貴久,5
7,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,8,1,1,カイザーノヴァ,牡2,55.0,池添 謙一,1:33.0,クビ,15-15,33.5,460,-2,矢作 芳人,14
8,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,9,7,13,ホウオウアマゾン,牡2,55.0,松山 弘平,1:33.0,クビ,6-6,34.7,500,+2,矢作 芳人,3
9,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,10,7,14,モントライゼ,牡2,55.0,C.ルメール,1:33.1,クビ,1-1,36.2,492,-4,松永 幹夫,4
10,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,11,8,16,スーパーホープ,牡2,55.0,M.デムーロ,1:33.3,1 1/4,11-11,34.3,510,0,藤岡 健一,9
11,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,12,6,12,ジュンブルースカイ,牡2,55.0,岩田 康誠,1:33.3,クビ,11-11,34.2,436,+8,友道 康夫,12
12,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,13,2,4,ショックアクション,牡2,55.0,戸崎 圭太,1:33.9,3 1/2,3-4,35.8,500,+10,大久保 龍志,6
13,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,14,5,10,アスコルターレ,牡2,55.0,北村 友一,1:34.4,3,14-13,35.0,458,+14,西村 真幸,10
14,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,15,2,3,ビゾンテノブファロ,牡2,55.0,山田 敬士,1:34.5,1/2,11-13,35.2,472,-6,小桧山 悟,16
15,2020-12-20,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,16,5,9,テーオーダヴィンチ,牡2,55.0,浜中 俊,1:35.4,5,16-16,35.3,490,-2,岡田 稲男,15
0,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,1,8,16,モズスーパーフレア,牝5,55.0,松若 風馬,1:08.7,,1-1,34.5,494,0,音無 秀孝,9
1,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,2,4,8,グランアレグリア,牝4,55.0,池添 謙一,1:08.7,ハナ,13-12,33.1,486,+12,藤沢 和雄,2
2,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,3,2,3,ダイアトニック,牡5,57.0,北村 友一,1:08.7,アタマ,4-4,33.7,472,+2,安田 隆行,4
3,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,4,6,11,クリノガウディー,牡4,57.0,和田 竜二,1:08.7,1位降着,3-3,33.8,494,-2,藤沢 則雄,15
4,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,5,8,17,,牡5,57.0,藤岡 佑介,1:09.0,2,15-15,33.1,500,0,野中 賢二,12
5,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,6,4,7,,牡4,57.0,岩田 康誠,1:09.0,ハナ,15-14,33.2,494,-2,松永 幹夫,13
6,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,7,6,12,セイウンコウセイ,牡7,57.0,幸 英明,1:09.1,クビ,2-2,34.4,504,0,上原 博之,6
7,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,8,2,4,ティーハーフ,牡10,57.0,国分 優作,1:09.1,ハナ,8-9,33.8,472,+8,西浦 勝一,17
8,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,9,1,1,ステルヴィオ,牡5,57.0,丸山 元気,1:09.3,1,8-7,34.1,488,-4,木村 哲也,7
9,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,10,3,6,ダノンスマッシュ,牡5,57.0,川田 将雅,1:09.7,2 1/2,7-4,34.7,474,-4,安田 隆行,3
10,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,11,1,2,アウィルアウェイ,牝4,55.0,松山 弘平,1:09.7,アタマ,8-11,34.2,480,+2,高野 友和,11
11,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,12,5,9,タワーオブロンドン,牡5,57.0,福永 祐一,1:09.8,3/4,8-9,34.5,514,-6,藤沢 和雄,1
12,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,13,7,14,モズアスコット,牡6,57.0,M.デムーロ,1:09.9,クビ,17-17,33.7,494,0,矢作 芳人,5
13,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,14,7,15,ナックビーナス,牝7,55.0,田辺 裕信,1:10.3,2 1/2,4-4,35.3,532,-2,杉浦 宏昭,14
14,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,15,8,18,ノームコア,牝5,55.0,横山 典弘,1:10.6,1 3/4,8-12,35.0,478,+11,萩原 清,8
15,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,16,3,5,ラブカンプー,牝5,55.0,酒井 学,1:10.6,クビ,4-7,35.4,444,+6,森田 直行,18
16,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,17,7,13,ダイメイプリンセス,牝7,55.0,秋山 真一郎,1:10.9,2,13-15,35.0,504,+14,森田 直行,16
17,2020-03-29,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,18,5,10,アイラブテーラー,牝4,55.0,武 豊,1:21.9,大差,18-18,42.9,426,-8,河内 洋,10
0,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,1,1,2,アーモンドアイ,牝4,56.0,C.ルメール,1:56.2,,5-6-5,33.8,480,-4,国枝 栄,1
1,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,2,5,9,ダノンプレミアム,牡4,58.0,川田 将雅,1:56.7,3,5-5-3,34.5,508,+4,中内田 充正,3
2,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,3,3,5,アエロリット,牝5,56.0,戸崎 圭太,1:56.7,クビ,1-1-1,34.8,516,0,菊沢 隆徳,6
3,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,4,3,6,ユーキャンスマイル,牡4,58.0,岩田 康誠,1:56.8,クビ,13-13-13,33.7,488,-8,友道 康夫,7
4,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,5,7,14,ワグネリアン,牡4,58.0,福永 祐一,1:56.8,クビ,11-11-9,34.0,462,-10,友道 康夫,4
5,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,6,5,10,サートゥルナーリア,牡3,56.0,C.スミヨン,1:57.1,1 1/2,2-3-3,34.9,502,+4,角居 勝彦,2
6,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,7,2,4,スワーヴリチャード,牡5,58.0,横山 典弘,1:57.1,ハナ,7-9-9,34.3,514,-10,庄野 靖志,5
7,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,8,8,15,ウインブライト,牡5,58.0,松岡 正海,1:57.3,1 1/4,7-8-5,34.8,486,-8,畠山 吉宏,12
8,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,9,2,3,ケイアイノーテック,牡4,58.0,幸 英明,1:57.5,1,14-15-15,34.2,468,-2,平田 修,14
9,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,10,4,8,マカヒキ,牡6,58.0,武 豊,1:57.6,3/4,14-13-13,34.4,504,-4,友道 康夫,8
10,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,11,6,11,,牡4,58.0,北村 宏司,1:57.7,3/4,11-11-12,34.7,502,-2,藤沢 和雄,16
11,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,12,4,7,スティッフェリオ,牡5,58.0,丸山 元気,1:57.9,1 1/4,2-2-2,35.9,448,+6,音無 秀孝,11
12,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,13,1,1,カデナ,牡5,58.0,藤岡 佑介,1:58.4,3,16-16-16,34.7,472,-6,中竹 和也,10
13,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,14,8,16,,牡5,58.0,北村 友一,1:58.7,2,9-6-7,36.1,516,-4,池江 泰寿,9
14,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,15,7,13,,牡3,56.0,M.デムーロ,1:59.1,2 1/2,9-9-11,36.2,490,0,藤沢 和雄,13
15,2019-10-27,天皇賞秋,3歳以上,オープン,国際指定,定量,2000メートル芝左,16,6,12,ドレッドノータス,せん6,58.0,坂井 瑠星,2:00.1,6,4-3-7,37.5,462,+4,矢作 芳人,15
0,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,1,1,1,ワールドプレミア,牡5,58.0,福永 祐一,3:14.7,,7-7-7-4,36.7,486,-2,友道 康夫,3
1,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,2,6,12,ディープボンド,牡4,58.0,和田 竜二,3:14.8,3/4,4-3-4-3,37.1,502,0,大久保 龍志,1
2,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,3,2,3,カレンブーケドール,牝5,56.0,戸崎 圭太,3:15.2,2,3-3-2-2,37.7,480,+2,国枝 栄,4
3,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,4,1,2,アリストテレス,牡4,58.0,C.ルメール,3:15.2,アタマ,6-6-5-4,37.3,474,-6,音無 秀孝,2
4,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,5,7,14,ウインマリリン,牝4,56.0,横山 武史,3:15.6,2 1/2,7-8-9-6,37.4,462,+6,手塚 貴久,8
5,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,6,3,5,,牡4,58.0,坂井 瑠星,3:15.6,クビ,1-1-1-1,38.3,488,-10,高野 友和,7
6,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,7,4,7,ユーキャンスマイル,牡6,58.0,藤岡 佑介,3:16.2,3 1/2,15-15-14-11,37.8,510,0,友道 康夫,5
7,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,8,3,6,マカヒキ,牡8,58.0,藤岡 康太,3:16.5,2,11-11-7-7,38.3,504,+2,友道 康夫,12
8,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,9,7,13,ナムラドノヴァン,牡6,58.0,内田 博幸,3:16.6,1/2,14-14-13-11,38.1,492,0,杉山 晴紀,11
9,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,10,8,17,オーソリティ,牡4,58.0,川田 将雅,3:16.7,クビ,11-11-10-7,38.4,506,-4,木村 哲也,6
10,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,11,8,16,メロディーレーン,牝5,56.0,池添 謙一,3:17.4,4,13-13-14-16,38.5,342,-4,森田 直行,16
11,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,12,5,10,ゴースト,せん5,58.0,鮫島 克駿,3:17.5,1/2,9-10-10-14,38.9,496,0,橋口 慎介,14
12,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,13,8,15,オセアグレイト,牡5,58.0,横山 典弘,3:17.5,クビ,17-17-14-11,39.0,496,0,菊川 正達,9
13,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,14,6,11,メイショウテンゲン,牡5,58.0,酒井 学,3:18.1,3 1/2,9-8-10-14,39.4,470,+2,池添 兼雄,13
14,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,15,4,8,ディバインフォース,牡5,58.0,武 豊,3:18.1,ハナ,16-16-17-17,39.0,460,-8,寺島 良,10
15,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,16,2,4,,牡7,58.0,松若 風馬,3:18.4,1 3/4,4-5-5-7,40.3,502,-4,池江 泰寿,17
16,2021-05-02,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,17,5,9,ジャコマル,牡7,58.0,横山 和生,3:19.6,7,2-2-3-7,41.6,464,-4,松永 幹夫,15
0,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,1,5,9,デアリングタクト,牝3,55.0,松山 弘平,1:36.1,,13-12,36.6,466,0,杉山 晴紀,2
1,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,2,8,17,レシステンシア,牝3,55.0,武 豊,1:36.3,1 1/2,2-2,38.2,482,-6,松下 武士,1
2,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,3,2,3,スマイルカナ,牝3,55.0,柴田 大知,1:36.6,1 3/4,1-1,38.6,416,0,高橋 祥泰,9
3,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,4,6,11,クラヴァシュドール,牝3,55.0,M.デムーロ,1:36.8,1,7-13,37.1,442,-4,中内田 充正,6
4,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,5,7,14,ミヤマザクラ,牝3,55.0,福永 祐一,1:36.9,3/4,3-8,37.8,470,+6,藤原 英昭,7
5,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,6,2,4,サンクテュエール,牝3,55.0,C.ルメール,1:36.9,ハナ,7-5,38.1,456,+2,藤沢 和雄,3
6,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,7,5,10,フィオリキアリ,牝3,55.0,藤井 勘一郎,1:37.1,1 1/4,15-16,37.2,434,+8,清水 久詞,14
7,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,8,3,5,マルターズディオサ,牝3,55.0,田辺 裕信,1:37.2,クビ,3-3,38.8,440,-4,手塚 貴久,5
8,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,9,8,18,エーポス,牝3,55.0,岩田 康誠,1:37.3,3/4,10-9,38.0,458,+12,北出 成人,11
9,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,10,4,8,リアアメリア,牝3,55.0,川田 将雅,1:37.3,クビ,10-9,38.0,478,-4,中内田 充正,4
10,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,11,1,2,チェーンオブラブ,牝3,55.0,石橋 脩,1:37.5,3/4,18-14,37.7,466,+2,小笠 倫弘,16
11,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,12,7,13,マジックキャッスル,牝3,55.0,浜中 俊,1:37.6,3/4,15-14,37.8,424,-6,国枝 栄,8
12,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,13,8,16,ケープコッド,牝3,55.0,岩田 望来,1:37.7,1/2,14-16,37.8,464,-6,高柳 瑞樹,18
13,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,14,6,12,インターミッション,牝3,55.0,石川 裕紀人,1:37.7,アタマ,10-9,38.3,406,+6,手塚 貴久,13
14,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,15,4,7,ヒルノマリブ,牝3,55.0,北村 友一,1:37.8,クビ,17-18,37.6,486,+2,北出 成人,15
15,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,16,3,6,ウーマンズハート,牝3,55.0,藤岡 康太,1:38.2,2 1/2,7-5,39.4,460,0,西浦 勝一,10
16,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,17,1,1,ナイントゥファイブ,牝3,55.0,松田 大作,1:39.7,9,3-5,41.0,468,+4,西園 正都,17
17,2020-04-12,桜花賞,3歳,オープン,国際牝指定,定量,1600メートル芝右 外,18,7,15,ヤマカツマーメイド,牝3,55.0,池添 謙一,1:39.9,1,3-3,41.5,476,+4,池添 兼雄,12
0,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,1,1,2,コントレイル,牡4,57.0,福永 祐一,2:24.7,,8-7-8-8,33.7,456,-8,矢作 芳人,1
1,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,2,4,7,オーソリティ,牡4,57.0,C.ルメール,2:25.0,2,5-4-5-2,34.4,520,+2,木村 哲也,3
2,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,3,2,4,シャフリヤール,牡3,55.0,川田 将雅,2:25.2,1 1/2,5-5-6-5,34.4,446,-6,藤原 英昭,2
3,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,4,6,12,サンレイポケット,牡6,57.0,鮫島 克駿,2:25.4,3/4,4-6-6-7,34.5,474,+2,高橋 義忠,10
4,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,5,3,6,グランドグローリー,牝5,55.0,C.デムーロ,2:25.5,3/4,9-9-9-9,34.2,466,前計不,G.ビエトリーニ,8
5,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,6,7,14,ユーバーレーベン,牝3,53.0,M.デムーロ,2:25.5,クビ,7-8-9-9,34.2,472,+8,手塚 貴久,5
6,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,7,6,11,シャドウディーヴァ,牝5,55.0,横山 典弘,2:25.6,1/2,3-2-3-5,34.8,478,-4,斎藤 誠,11
